n_amenageur,n_operateur,n_enseigne,id_station,n_station,ad_station,code_insee,Xlongitude,Ylatitude,nbre_pdc,id_pdc,puiss_max,type_prise,acces_recharge,accessibilite,observations,date_maj
SDE07,SDE07,E Born,FR*S07*P07319*B,LE TEIL_Place du Cimetière,Place du Cimetière 07400 LE TEIL,07319,4.68228600,44.55000800,,FR*S07*E07319*B*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07319*B,LE TEIL_Place du Cimetière,Place du Cimetière 07400 LE TEIL,07319,4.68228600,44.55000800,,FR*S07*E07319*B*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07322*A,THUEYTS_Place du Champ de Mars,Place du Champ de Mars 07330 THUEYTS,07322,4.22180300,44.67575200,,FR*S07*E07322*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07322*A,THUEYTS_Place du Champ de Mars,Place du Champ de Mars 07330 THUEYTS,07322,4.22180300,44.67575200,,FR*S07*E07322*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07324*A,TOURNON SUR RHONE_Place Carnot,Place Carnot 07300 TOURNON SUR RHONE,07324,4.83552700,45.06430000,,FR*S07*E07324*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07324*A,TOURNON SUR RHONE_Place Carnot,Place Carnot 07300 TOURNON SUR RHONE,07324,4.83552700,45.06430000,,FR*S07*E07324*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07325*A,UCEL_Route de la manufacture royale - Espace Deydier,Route de la manufacture royale - Espace Deydier 07200 UCEL,07325,4.39729500,44.62625500,,FR*S07*E07325*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07325*A,UCEL_Route de la manufacture royale - Espace Deydier,Route de la manufacture royale - Espace Deydier 07200 UCEL,07325,4.39729500,44.62625500,,FR*S07*E07325*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07328*A,VAGNAS_Place de l'Eglise,Place de l'Eglise 07150 VAGNAS,07328,4.36600800,44.34512200,,FR*S07*E07328*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07328*A,VAGNAS_Place de l'Eglise,Place de l'Eglise 07150 VAGNAS,07328,4.36600800,44.34512200,,FR*S07*E07328*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07329*A,VALGORGE_Le Village,Le Village 07110 VALGORGE,07329,4.12942200,44.58776300,,FR*S07*E07329*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07329*A,VALGORGE_Le Village,Le Village 07110 VALGORGE,07329,4.12942200,44.58776300,,FR*S07*E07329*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07330*A,VALLON PONT D ARC_Quartier Ratiere,Quartier Ratiere 07150 VALLON PONT D ARC,07330,4.39753000,44.40623100,,FR*S07*E07330*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07330*A,VALLON PONT D ARC_Quartier Ratiere,Quartier Ratiere 07150 VALLON PONT D ARC,07330,4.39753000,44.40623100,,FR*S07*E07330*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
